CÓDIGO HORÁRIO;DESCRIÇÃO HORÁRIO;ID SCRIPT;INICIO;TERMINO
4861;10:00 11:45 12:45 16:00;10:0016:00;10:00;16:00
4862;10:00 11:55 12:55 16:00;10:0016:00;10:00;16:00
4863;10:00 13:50 14:50 16:00;10:0016:00;10:00;16:00
4864;10:00 11:40 12:40 16:00;10:0016:00;10:00;16:00
4867;10:00 11:15 12:15 16:00;10:0016:00;10:00;16:00
2543;08:30 13:10 14:10 16:30;2,428125;08:30;16:30
2537;08:30 12:35 13:35 16:30;2,428125;08:30;16:30
4880;08:30 11:55 12:55 16:30;2,428125;08:30;16:30
4432;15:30 17:30 18:30 23:30;2,724652778;15:30;23:30
5314;07:00 15:00;07:0015:00;07:00;15:00
2308;05:00 07:50 08:20 13:00;05:0013:00;05:00;13:00
4878;05:00 07:05 07:35 13:00;05:0013:00;05:00;13:00
4879;05:00 10:45 11:15 13:00;05:0013:00;05:00;13:00
2019;07:30 09:30 10:30 15:30;2,385763889;07:30;15:30
792;07:00 09:25 10:25 15:00;07:0015:00;07:00;15:00
256;07:00 10:10 11:10 15:00;07:0015:00;07:00;15:00
922;07:00 09:40 10:40 15:00;07:0015:00;07:00;15:00
3283;09:00 11:24 11:39 17:00;09:0017:00;09:00;17:00
1002;09:00 AS 15:00;09:0015:00;09:00;15:00
5417;03:00 06:00;03:0006:00;03:00;06:00
5405;10:00 13:00;10:0013:00;10:00;13:00
4938;02:30 05:30;2,170486111;02:30;05:30
1580;22:00 AS 01:00;22:0001:00;22:00;01:00
5404;08:30 11:30;2,424652778;08:30;11:30
5406;09:30 12:30;2,467013889;09:30;12:30
1266;13:00 AS 16:00;13:0016:00;13:00;16:00
1520;03:00 AS 06:00;03:0006:00;03:00;06:00
1298;21:00 AS 00:00;21:0000:00;21:00;00:00
1005;09:00 AS 13:00;09:0013:00;09:00;13:00
5610;20:45 23:45;3,974826389;20:45;23:45
1004;10:00 AS 16:00;10:0016:00;10:00;16:00
1294;13:00 AS 17:00;13:0017:00;13:00;17:00
3640;00:30 02:18 02:33 06:30;2,087847222;00:30;06:30
3318;00:30 04:10 04:25 06:30;2,087847222;00:30;06:30
3317;00:30 02:35 02:50 06:30;2,087847222;00:30;06:30
3310;00:30 04:25 04:40 06:30;2,087847222;00:30;06:30
1226;03:00 AS 07:00;03:0007:00;03:00;07:00
9004;ADM - 09:00 AS 13:00;09:0013:00;09:00;13:00
1587;14:30 AS 17:30;2,678819444;14:30;17:30
1166;14:00 AS 17:00;14:0017:00;14:00;17:00
1615;09:00 AS 12:00;09:0012:00;09:00;12:00
5609;09:30 11:30;2,466319444;09:30;11:30
1714;07:00 AS 14:43;07:0014:43;07:00;14:43
1728;22:00 AS 05:43;22:0005:43;22:00;05:43
4042;01:00 02:48 03:03 07:00;01:0007:00;01:00;07:00
2991;09:00 11:10 11:25 15:00;09:0015:00;09:00;15:00
1177;01:00 AS 05:00;01:0005:00;01:00;05:00
4872;06:00 14:00;06:0014:00;06:00;14:00
5350;04:00 08:00;04:0008:00;04:00;08:00
1145;04:00 AS 08:00;04:0008:00;04:00;08:00
5378;05:00 09:00;05:0009:00;05:00;09:00
5434;05:30 09:30;2,298263889;05:30;09:30
1059;05:30 AS 09:30;2,298263889;05:30;09:30
969;06:30 08:18 08:33 12:30;2,342013889;06:30;12:30
1299;11:30 AS 14:30;2,551736111;11:30;14:30
1316;09:00 AS 14:00;09:0014:00;09:00;14:00
9010;14:00 16:00 16:15 19:15;14:0019:15;14:00;19:15
5383;06:00 11:00;06:0011:00;06:00;11:00
1439;08:00 AS 13:15;08:0013:15;08:00;13:15
1533;11:30 AS 16:54;2,553402778;11:30;16:54
1075;00:30 AS 05:30;2,087152778;00:30;05:30
1391;04:30 AS 09:30;2,256597222;04:30;09:30
1462;14:00 AS 19:00;14:0019:00;14:00;19:00
1114;12:30 AS 18:30;2,596180556;12:30;18:30
1582;08:30 AS 11:30;2,424652778;08:30;11:30
1305;07:00 AS 10:00;07:0010:00;07:00;10:00
1322;08:00 AS 13:00;08:0013:00;08:00;13:00
1393;04:00 AS 09:00;04:0009:00;04:00;09:00
1053;21:00 AS 01:00;21:0001:00;21:00;01:00
1225;02:30 AS 06:30;2,171180556;02:30;06:30
2128;22:00 01:30 01:45 04:00;22:0004:00;22:00;04:00
1;08:00 11:00 11:15 14:00;08:0014:00;08:00;14:00
804;03:00 04:50 05:05 09:00;03:0009:00;03:00;09:00
